Time (mSec),Stimulus (Code),Right (OD),Left (OS)
3954,None,301,273
3957,None,301,275
3961,None,302,275
3964,None,302,275
3968,None,302,275
3971,None,302,277
3975,None,302,277
3979,None,303,277
3982,None,302,277
3986,None,303,278
3989,None,303,273
3993,None,304,278
3996,None,304,279
4000,None,304,278
4004,None,305,279
4007,None,305,279
4011,None,305,278
4014,None,305,279
4018,None,305,280
4021,None,306,280
4025,None,306,280
4029,None,305,281
4032,None,307,282
4036,None,307,281
4039,None,307,282
4043,None,307,281
4046,None,307,281
4050,None,307,282
4054,None,308,282
4057,None,308,282
4061,None,308,282
4064,None,308,282
4068,None,308,282
4071,None,308,283
4075,None,308,283
4079,None,308,284
4082,None,308,282
4086,None,308,282
4089,None,308,283
4093,None,308,283
4096,None,308,283
4100,None,308,282
4104,None,308,282
4107,None,308,283
4111,None,308,283
4114,None,308,283
4118,None,308,283
4121,None,308,283
4125,None,309,283
4129,None,309,285
4132,None,309,285
4136,None,309,285
4139,None,309,283
4143,None,309,284
4146,None,309,284
4150,None,309,284
4154,None,309,285
4157,None,309,285
4161,None,310,285
4164,None,310,284
4168,None,310,285
4171,None,310,285
4175,None,310,286
4179,None,310,286
4182,None,310,286
4186,None,310,285
4189,None,311,285
4193,None,311,286
4196,None,311,286
4200,None,311,285
4204,None,311,285
4207,None,311,288
4211,None,311,286
4214,None,311,286
4218,None,311,286
4221,None,311,286
4225,None,311,286
4229,None,311,287
4232,None,311,286
4236,None,311,287
4239,None,311,287
4243,None,311,288
4246,None,310,288
4250,None,311,288
4254,None,311,286
4257,None,310,286
4261,None,311,288
4264,None,311,287
4268,None,311,288
4271,None,311,288
4275,None,311,288
4279,None,311,287
4282,None,311,288
4286,None,310,286
4289,None,311,286
4293,None,310,288
4296,None,311,287
4300,None,311,288
4304,None,311,287
4307,None,310,288
4311,None,310,288
4314,None,311,288
4318,None,311,287
4321,None,311,288
4325,None,311,287
4329,None,311,288
4332,None,311,287
4336,None,311,288
4339,None,311,288
4343,None,311,288
4346,None,311,288
4350,None,311,288
4354,None,311,288
4357,None,311,288
4361,None,311,288
4364,None,311,288
4368,None,311,288
4371,None,311,288
4375,None,311,288
4379,None,311,288
4382,None,310,286
4386,None,310,288
4389,None,310,287
4393,None,310,286
4396,None,310,286
4400,None,309,287
4404,None,310,287
4407,None,309,286
4411,None,309,286
4414,None,309,286
4418,None,309,286
4421,None,309,285
4425,None,309,285
4429,None,309,285
4432,None,309,286
4436,None,309,286
4439,None,309,286
4443,None,309,285
4446,None,309,284
4450,None,309,284
4454,None,309,285
4457,None,309,283
4461,None,309,284
4464,None,309,284
4468,None,309,284
4471,None,309,283
4475,None,309,284
4479,None,308,285
4482,None,309,283
4486,None,309,283
4489,None,309,284
4493,None,309,285
4496,None,309,285
4500,None,309,284
4504,None,309,283
4507,None,308,285
4511,None,308,284
4514,None,308,284
4518,None,308,283
4521,None,308,284
4525,None,308,283
4529,None,308,283
4532,None,308,283
4536,None,308,283
4539,None,308,282
4543,None,308,282
4546,None,308,283
4550,None,308,283
4554,None,308,283
4557,None,308,283
4561,None,308,282
4564,None,308,283
4568,None,308,283
4571,None,308,283
4575,None,308,283
4579,None,308,284
4582,None,308,283
4586,None,308,284
4589,None,308,283
4593,None,308,283
4596,None,308,283
4600,None,308,284
4604,None,308,283
4607,None,308,285
4611,None,308,284
4614,None,308,284
4618,None,308,283
4621,None,308,284
4625,None,308,285
4629,None,309,285
4632,None,308,284
4636,None,308,284
4639,None,308,285
4643,None,308,284
4646,None,308,285
4650,None,308,284
4654,None,308,286
4657,None,308,284
4661,None,308,285
4664,None,308,284
4668,None,308,285
4671,None,308,285
4675,None,308,284
4679,None,308,285
4682,None,308,284
4686,None,308,285
4689,None,308,285
4693,None,308,286
4696,None,308,285
4700,None,308,284
4704,None,308,284
4707,None,308,285
4711,None,308,286
4714,None,308,285
4718,None,308,286
4721,None,308,285
4725,None,308,286
4729,None,309,286
4732,None,309,287
4736,None,309,286
4739,None,309,287
4743,None,309,287
4746,None,309,287
4750,None,309,287
4754,None,309,286
4757,None,309,287
4761,None,309,287
4764,None,308,287
4768,None,309,286
4771,None,309,287
4775,None,309,288
4779,None,309,287
4782,None,310,288
4786,None,310,288
4789,None,310,288
4793,None,310,287
4796,None,310,287
4800,None,310,287
4804,None,310,286
4807,None,310,288
4811,None,310,287
4814,None,309,287
4818,None,309,287
4821,None,310,288
4825,None,309,287
4829,None,309,287
4832,None,309,287
4836,None,309,287
4839,None,309,288
4843,None,310,288
4846,None,310,288
4850,None,310,288
4854,None,310,288
4857,None,310,287
4861,None,310,287
4864,None,310,288
4868,None,310,288
4871,None,310,288
4875,None,310,288
4879,None,309,287
4882,None,310,287
4886,None,309,288
4889,None,309,288
4893,None,308,286
4896,None,308,286
4900,None,308,285
4904,None,307,285
4907,None,308,284
4911,None,307,284
4914,None,307,283
4918,None,307,283
4921,None,306,282
4925,None,306,282
4929,None,305,282
4932,None,305,282
4936,None,305,282
4939,None,306,281
4943,None,307,282
4946,None,305,282
4950,None,306,282
4954,None,306,282
4957,None,306,282
4961,None,306,282
4964,None,306,282
4968,None,306,282
4971,None,306,281
4975,None,306,281
4979,None,305,281
4982,None,305,281
4986,None,304,280
4989,None,305,281
4993,None,305,280
4996,None,305,281
5000,None,302,280
5004,None,302,281
5007,None,302,280
5011,None,302,280
5014,None,302,279
5018,None,302,279
5021,None,302,279
5025,None,302,280
5029,None,302,280
5032,None,302,280
5036,None,302,279
5039,None,302,280
5043,None,302,279
5046,None,302,279
5050,None,302,280
5054,None,302,279
5057,None,302,281
5061,None,302,279
5064,None,302,281
5068,None,302,281
5071,None,302,280
5075,None,302,281
5079,None,302,280
5082,None,302,280
5086,None,302,280
5089,None,302,281
5093,None,303,282
5096,None,302,281
5100,None,303,280
5104,None,303,282
5107,None,302,281
5111,None,302,282
5114,None,303,281
5118,None,304,280
5121,None,304,281
5125,None,303,281
5129,None,304,282
5132,None,303,281
5136,None,303,281
5139,None,304,280
5143,None,304,280
5146,None,303,281
5150,None,303,280
5154,None,303,280
5157,None,303,281
5161,None,302,279
5164,None,303,280
5168,None,302,280
5171,None,302,280
5175,None,302,280
5179,None,302,279
5182,None,302,279
5186,None,302,279
5189,None,302,279
5193,None,302,280
5196,None,302,278
5200,None,302,278
5204,None,302,278
5207,None,302,279
5211,None,302,278
5214,None,301,278
5218,None,301,279
5221,None,301,278
5225,None,301,278
5229,None,301,278
5232,None,301,277
5236,None,301,277
5239,None,300,278
5243,None,300,278
5246,None,299,277
5250,None,299,277
5254,None,299,277
5257,None,299,277
5261,None,299,277
5264,None,298,277
5268,None,299,277
5271,None,298,277
5275,None,298,276
5279,None,298,274
5282,None,298,275
5286,None,298,274
5289,None,298,274
5293,None,298,275
5296,None,298,274
5300,None,298,274
5304,None,298,274
5307,None,298,274
5311,None,298,274
5314,None,297,273
5318,None,298,273
5321,None,297,273
5325,None,298,273
5329,None,297,272
5332,None,298,273
5336,None,298,273
5339,None,297,273
5343,None,297,272
5346,None,296,272
5350,None,296,269
5354,None,296,271
5357,None,293,269
5361,None,292,270
5364,None,293,269
5368,None,292,268
5371,None,292,268
5375,None,292,268
5379,None,292,268
5382,None,292,267
5386,None,292,268
5389,None,292,267
5393,None,292,268
5396,None,292,268
5400,None,292,268
5404,None,291,267
5407,None,291,267
5411,None,291,268
5414,None,290,267
5418,None,289,266
5421,None,289,266
5425,None,288,266
5429,None,287,262
5432,None,287,260
5436,None,284,258
5439,None,282,254
5443,None,279,252
5446,None,277,250
5450,None,274,251
5454,None,272,249
5457,None,272,248
5461,None,268,248
5464,None,266,246
5468,None,263,244
5471,None,264,243
5475,None,262,242
5479,None,261,239
5482,None,258,238
5486,None,256,236
5489,None,254,234
5493,None,252,233
5496,None,252,232
5500,None,250,230
5504,None,248,228
5507,None,246,228
5511,None,245,226
5514,None,244,223
5518,None,242,224
5521,None,241,222
5525,None,240,221
5529,None,239,220
5532,None,238,219
5536,None,237,218
5539,None,237,217
5543,None,236,216
5546,None,234,215
5550,None,234,215
5554,None,234,215
5557,None,235,215
5561,None,236,216
5564,None,236,216
5568,None,237,215
5571,None,238,217
5575,None,238,196
5579,None,238,195
5582,None,238,196
5586,None,238,196
5589,None,238,196
5593,None,237,196
5596,None,236,214
5600,None,234,214
5604,None,233,213
5607,None,232,212
5611,None,232,211
5614,None,230,200
5618,None,229,199
5621,None,218,199
