Time (mSec),Stimulus (Code),Right (OD),Left (OS)
2025,None,324,332
2029,None,324,332
2032,None,324,332
2036,None,324,332
2039,None,321,332
2043,None,321,328
2046,None,321,332
2050,None,322,332
2054,None,322,332
2057,None,320,332
2061,None,320,332
2064,None,320,332
2068,None,321,332
2071,None,321,332
2075,None,321,332
2079,None,321,332
2082,None,321,328
2086,None,322,332
2089,None,322,328
2093,None,322,332
2096,None,322,332
2100,None,322,328
2104,None,322,332
2107,None,322,332
2111,None,322,332
2114,None,322,332
2118,None,322,328
2121,None,322,332
2125,None,322,328
2129,None,322,328
2132,None,322,332
2136,None,322,332
2139,None,322,332
2143,None,330,327
2146,None,330,327
2150,None,330,327
2154,None,330,334
2157,None,332,340
2161,None,332,335
2164,None,330,335
2168,None,330,334
2171,None,332,334
2175,None,332,334
2179,None,333,335
2182,None,332,335
2186,None,333,327
2189,None,333,328
2193,None,330,327
2196,None,330,328
2200,None,332,327
2204,None,332,328
2207,None,330,328
2211,None,332,328
2214,None,331,327
2218,None,332,327
2221,None,330,328
2225,None,330,328
2229,None,331,328
2232,None,330,328
2236,None,330,339
2239,None,329,328
2243,None,330,334
2246,None,333,328
2250,None,329,328
2254,None,329,339
2257,None,330,335
2261,None,329,333
2264,None,329,334
2268,None,329,333
2271,None,329,334
2275,None,329,333
2279,None,329,333
2282,None,329,333
2286,None,329,333
2289,None,329,333
2293,None,329,331
2296,None,329,333
2300,None,329,327
2304,None,328,332
2307,None,328,327
2311,None,328,332
2314,None,328,332
2318,None,328,331
2321,None,328,326
2325,None,327,329
2329,None,327,324
2332,None,326,326
2336,None,326,326
2339,None,326,325
2343,None,325,328
2346,None,325,323
2350,None,325,323
2354,None,325,323
2357,None,326,323
2361,None,325,323
2364,None,325,323
2368,None,325,323
2371,None,325,323
2375,None,325,323
2379,None,325,323
2382,None,325,323
2386,None,325,323
2389,None,325,323
2393,None,326,323
2396,None,325,323
2400,None,325,323
2404,None,325,323
2407,None,325,323
2411,None,325,323
2414,None,325,323
2418,None,326,323
2421,None,326,323
2425,None,325,323
2429,None,325,323
2432,None,325,323
2436,None,325,323
2439,None,325,323
2443,None,325,323
2446,None,325,323
2450,None,325,323
2454,None,325,323
2457,None,326,323
2461,None,325,323
2464,None,326,328
2468,None,326,323
2471,None,326,323
2475,None,326,328
2479,None,326,328
2482,None,326,323
2486,None,326,323
2489,None,326,328
2493,None,327,323
2496,None,327,328
2500,None,320,326
2504,None,320,327
2507,None,320,327
2511,None,320,328
2514,None,320,326
2518,None,320,326
2521,None,320,326
2525,None,323,327
2529,None,323,326
2532,None,323,326
2536,None,323,326
2539,None,321,326
2543,None,323,327
2546,None,321,332
2550,None,321,332
2554,None,321,327
2557,None,321,332
2561,None,324,332
2564,None,323,332
2568,None,323,332
2571,None,321,327
2575,None,321,332
2579,None,321,332
2582,None,321,327
2586,None,321,327
2589,None,321,327
2593,None,323,328
2596,None,323,332
2600,None,321,327
2604,None,323,332
2607,None,320,327
2611,None,324,327
2614,None,324,327
2618,None,323,327
2621,None,323,326
2625,None,321,327
2629,None,321,332
2632,None,323,326
2636,None,323,331
2639,None,321,328
2643,None,321,328
2646,None,321,326
2650,None,323,326
2654,None,321,328
2657,None,321,326
2661,None,323,326
2664,None,323,326
2668,None,321,326
2671,None,323,326
2675,None,324,326
2679,None,323,326
2682,None,323,331
2686,None,323,326
2689,None,321,326
